method,candidate_id,L,hidden,layers,H,lr,seed,validation_macro_MAPE,parameters,latency_ms,train_seconds
NSGA-II,L15_D64_N1_H5_LR0.00086873,15,64,1,5,0.0008687297435776,52,2.2908811348303137,36418,0.4098063945770264,4.842128939002578
NSGA-II,L15_D64_N1_H5_LR0.00086873,15,64,1,5,0.0008687297435776,62,2.9462908029639583,36418,0.3925136089324951,4.806972480000695
NSGA-III,L15_D64_N1_H8_LR0.00134034,15,64,1,8,0.0013403390568723,42,2.069774435373851,36418,0.42424798011779785,4.4593836500025645
NSGA-III,L15_D64_N1_H8_LR0.00134034,15,64,1,8,0.0013403390568723,52,2.1024612400356935,36418,0.4080656051635742,4.618127469999308
NSGA-III,L15_D64_N1_H8_LR0.00134034,15,64,1,8,0.0013403390568723,62,2.5736551981136264,36418,0.4149792194366455,4.970287123996968
NSGA-III,L20_D64_N1_H8_LR0.00086873,20,64,1,8,0.0008687297435776,42,2.383836521988257,36418,0.40815200805664065,3.658690532000037
NSGA-III,L20_D64_N1_H8_LR0.00086873,20,64,1,8,0.0008687297435776,52,2.2848978304819023,36418,0.4109327793121338,3.6337782240007073
NSGA-III,L20_D64_N1_H8_LR0.00086873,20,64,1,8,0.0008687297435776,62,2.187308193749195,36418,0.4162432193756104,3.6856811640027445
NSGA-III,L20_D64_N1_H8_LR0.00200000,20,64,1,8,0.002,42,2.597222523552488,36418,0.4087808132171631,2.8182429900007264
NSGA-III,L20_D64_N1_H8_LR0.00200000,20,64,1,8,0.002,52,2.4464676967766468,36418,0.3953999996185303,3.6803660209989175
NSGA-III,L20_D64_N1_H8_LR0.00200000,20,64,1,8,0.002,62,2.8072422756274427,36418,0.39222240447998047,2.845218771999498
NSGA-III,L15_D96_N1_H5_LR0.00041880,15,96,1,5,0.0004187950086557,42,1.8895226402697585,62658,0.41964001655578614,5.0997036610024225
NSGA-III,L15_D96_N1_H5_LR0.00041880,15,96,1,5,0.0004187950086557,52,1.9440113836942956,62658,0.4197375774383545,5.004147406998527
NSGA-III,L15_D96_N1_H5_LR0.00041880,15,96,1,5,0.0004187950086557,62,2.0172916516407713,62658,0.398854398727417,5.1892378280026605
NSGA-III,L15_D96_N1_H3_LR0.00035666,15,96,1,3,0.0003566614013512,42,1.7971558258862854,62658,0.4183919906616211,4.8198319879993505
NSGA-III,L15_D96_N1_H3_LR0.00035666,15,96,1,3,0.0003566614013512,52,1.9721141468084165,62658,0.39623520374298093,4.994943456000328
NSGA-III,L15_D96_N1_H3_LR0.00035666,15,96,1,3,0.0003566614013512,62,2.077414700337756,62658,0.4212751865386963,4.869242695996945
Random,L20_D64_N1_H8_LR0.00122920,20,64,1,8,0.0012291996435087,42,2.7745701882696,36418,0.40079197883605955,3.6763485179981217
Random,L20_D64_N1_H8_LR0.00122920,20,64,1,8,0.0012291996435087,52,2.378428282120316,36418,0.4176191806793213,3.6436830510028813
Random,L20_D64_N1_H8_LR0.00122920,20,64,1,8,0.0012291996435087,62,2.543825204441363,36418,0.4302800178527832,3.512001824001345
Random,L20_D64_N1_H3_LR0.00114316,20,64,1,3,0.0011431579756376,42,2.6944310896775936,36418,0.6802127838134766,3.324382870003319
Random,L20_D64_N1_H3_LR0.00114316,20,64,1,3,0.0011431579756376,52,2.4227993356491346,36418,0.4169919967651367,3.838310323000769
Random,L20_D64_N1_H3_LR0.00114316,20,64,1,3,0.0011431579756376,62,2.460318761978744,36418,0.40345120429992676,3.3970298940002976
Random,L15_D64_N1_H5_LR0.00073932,15,64,1,5,0.0007393237106292,42,1.9504137727406738,36418,0.3840143918991089,4.723186584000359
Random,L15_D64_N1_H5_LR0.00073932,15,64,1,5,0.0007393237106292,52,2.560696127742375,36418,0.4085824012756348,4.968044040000677
Random,L15_D64_N1_H5_LR0.00073932,15,64,1,5,0.0007393237106292,62,2.8185137712758084,36418,0.4009984016418457,4.860250748999533
Random,L10_D64_N1_H15_LR0.00033322,10,64,1,15,0.0003332183435883,42,3.7918393703048703,36418,0.4037631988525391,5.663206931996683
Random,L10_D64_N1_H15_LR0.00033322,10,64,1,15,0.0003332183435883,52,3.3116515641399458,36418,0.3789535999298096,5.897319152998534
Random,L10_D64_N1_H15_LR0.00033322,10,64,1,15,0.0003332183435883,62,3.4295486691196815,36418,0.4140031814575195,5.982395187002112
Random,L10_D64_N1_H15_LR0.00021401,10,64,1,15,0.0002140147489463,42,3.5125473110101306,36418,0.4143104076385498,6.124122891000297
Random,L10_D64_N1_H15_LR0.00021401,10,64,1,15,0.0002140147489463,52,2.9577939853420654,36418,0.41915359497070315,6.1212234209997405
Random,L10_D64_N1_H15_LR0.00021401,10,64,1,15,0.0002140147489463,62,2.8959642687968294,36418,0.44318561553955077,6.102967906997947
