method,run,evaluations,hypervolume,IGD
NSGA-II,11,252,1.1882146391165467,0.05962687766526281
NSGA-II,11,280,1.1884985856510486,0.05955060321825921
NSGA-II,12,28,0.9643352013452968,0.13724034552452133
NSGA-II,12,56,1.1896829978466499,0.07929339338364293
NSGA-II,12,84,1.2001346898176237,0.08095607822520809
NSGA-II,12,112,1.203477254996082,0.08294754430876439
NSGA-II,12,140,1.2071075648498066,0.0822535861157487
NSGA-II,12,168,1.2101922221810044,0.07894460208292596
NSGA-II,12,196,1.2102162652188933,0.07894460208292596
NSGA-II,12,224,1.214062045945254,0.07085467518242444
NSGA-II,12,252,1.2285114354566853,0.0845064117290634
NSGA-II,12,280,1.2285114354566853,0.0845064117290634
NSGA-II,13,28,1.1396627850369436,0.09003178884516483
NSGA-II,13,56,1.1467589244041823,0.08755306030465745
NSGA-II,13,84,1.1565711621004675,0.08492156870619884
NSGA-II,13,112,1.1582422537963641,0.08325179320458122
NSGA-II,13,140,1.1582877128728524,0.08306044121312037
NSGA-II,13,168,1.1583094484199534,0.08188151143922019
NSGA-II,13,196,1.1749519014697487,0.0758112669727063
NSGA-II,13,224,1.2042469547362935,0.07487471162071545
NSGA-II,13,252,1.2046656341741075,0.07485065208626718
NSGA-II,13,280,1.2090204719932074,0.07871573041838707
NSGA-II,14,28,1.0882475894885009,0.1160329563057184
NSGA-II,14,56,1.119364271752434,0.10344566757661962
NSGA-II,14,84,1.1232411119550807,0.09031035448385841
NSGA-II,14,112,1.1731005950681523,0.09138055631530385
NSGA-II,14,140,1.1935472741334148,0.08502231324906284
NSGA-II,14,168,1.1940489907537712,0.08300640163411928
NSGA-II,14,196,1.1945160539933812,0.08300849327719935
NSGA-II,14,224,1.1945160539933812,0.08300849327719935
NSGA-II,14,252,1.1946043374051833,0.0827880885456462
NSGA-II,14,280,1.1957185465803395,0.08163914545489782
NSGA-II,15,28,1.10951259085402,0.11620143890448761
NSGA-II,15,56,1.1185842490225724,0.11309965060488802
NSGA-II,15,84,1.14632535196684,0.08177409032708553
NSGA-II,15,112,1.1694807065603479,0.06394660056150077
NSGA-II,15,140,1.1698092178464767,0.06310696773511372
NSGA-II,15,168,1.1746959302593645,0.06803649773108389
NSGA-II,15,196,1.1803050773245656,0.06118508712306057
NSGA-II,15,224,1.183727513378197,0.058921516480213564
NSGA-II,15,252,1.183727513378197,0.058921516480213564
NSGA-II,15,280,1.1878282691537172,0.057986797458694436
NSGA-III,1,28,1.1114799912630726,0.13519082176868982
NSGA-III,1,56,1.116568737570922,0.1210594739010424
NSGA-III,1,84,1.1346931938728533,0.10343342466097992
NSGA-III,1,112,1.1507577099780337,0.08077322312297468
NSGA-III,1,140,1.1654378273060653,0.06986339843460403
NSGA-III,1,168,1.1690928301057675,0.06714549087829512
NSGA-III,1,196,1.1724064404338324,0.0666843300814481
NSGA-III,1,224,1.1799995303375144,0.0653053207292887
