method,run,evaluations,hypervolume,IGD
Random,7,196,1.1136746452929107,0.11042961886199146
Random,7,224,1.115976054962201,0.10692767875783427
Random,7,252,1.1175115703480747,0.10527669302313783
Random,7,280,1.1176237034121344,0.10527669302313783
Random,8,28,1.090103487298871,0.12326800844191647
Random,8,56,1.1359654980999974,0.1010935249566191
Random,8,84,1.137227560701784,0.09585020295324233
Random,8,112,1.140772322016808,0.09148174359420931
Random,8,140,1.1419894593320947,0.091095132506213
Random,8,168,1.142011532101008,0.08912261699411704
Random,8,196,1.1451747316533682,0.08367558546132059
Random,8,224,1.1455491231549408,0.08367558546132059
Random,8,252,1.1455498839213614,0.08367558546132059
Random,8,280,1.149096844684133,0.08367558546132059
Random,9,28,1.0583020958068925,0.14876987913840986
Random,9,56,1.070690726176212,0.1458651362120879
Random,9,84,1.0838301224995197,0.1282651246993889
Random,9,112,1.0982153653124405,0.12378827193101423
Random,9,140,1.105391404345478,0.12134498696951693
Random,9,168,1.1057564782336162,0.12134498696951693
Random,9,196,1.1124084305570368,0.11784896892124243
Random,9,224,1.1124084305570368,0.11784896892124243
Random,9,252,1.1124210005754023,0.11780126206060859
Random,9,280,1.1125078988778774,0.1167155612009221
Random,10,28,1.0874780037668572,0.1264858890099248
Random,10,56,1.1131377689281017,0.1032327851005672
Random,10,84,1.1140748909018507,0.1032327851005672
Random,10,112,1.1159771360865132,0.10302030642167044
Random,10,140,1.1164722844857513,0.10195504651890686
Random,10,168,1.1302741803016236,0.09390896455402745
Random,10,196,1.1303555501544533,0.09390896455402745
Random,10,224,1.1342509521475883,0.08516736213094636
Random,10,252,1.1402794840035744,0.08516736213094636
Random,10,280,1.149613041889752,0.07759866087121559
Random,11,28,1.0509809030293358,0.1270511360405488
Random,11,56,1.0722863834090852,0.12421787661098034
Random,11,84,1.0737648675504787,0.1238374316773914
Random,11,112,1.084812366249856,0.09491734979788173
Random,11,140,1.1112221011738863,0.08920257447486286
Random,11,168,1.1174009286962958,0.0796102220075675
Random,11,196,1.1226346043448105,0.0869938531225581
Random,11,224,1.1229941053327834,0.0869938531225581
Random,11,252,1.1229961721848265,0.0869938531225581
Random,11,280,1.1229961721848265,0.0869938531225581
Random,12,28,0.9440503848223194,0.16247049066188549
Random,12,56,1.0468746466796859,0.1543000522133438
Random,12,84,1.0995554700879673,0.1266120981522763
Random,12,112,1.1106500681391334,0.11326687578387055
Random,12,140,1.1117589444265756,0.1063240281509165
Random,12,168,1.125555779408068,0.10379383179341509
Random,12,196,1.125798032426835,0.10120163924680452
Random,12,224,1.1280802145417737,0.10011552110745685
Random,12,252,1.1312820144581484,0.09857593366467196
Random,12,280,1.1320081844489582,0.09857593366467196
Random,13,28,1.0928974668665878,0.1196977092235604
Random,13,56,1.1024862902064074,0.11929280359333376
Random,13,84,1.1109256218268508,0.10748872265620543
Random,13,112,1.1172558803147072,0.1026936003801875
Random,13,140,1.1235272472070394,0.08936713649509906
Random,13,168,1.1253224000730777,0.08994161628772467
Random,13,196,1.1257220285121632,0.08936457700135544
Random,13,224,1.128628721770145,0.0890936534973807
Random,13,252,1.1290776019858955,0.08854310950467435
Random,13,280,1.1308356204644403,0.08740198742083698
Random,14,28,1.0248303914235692,0.14357270864044733
Random,14,56,1.0664289178764008,0.12915585843153882
Random,14,84,1.077282230723021,0.1272464551973985
Random,14,112,1.0791234428722518,0.11684491002057715
Random,14,140,1.0795360209070397,0.11352961365586782
Random,14,168,1.1120908465443162,0.10630325253338344
Random,14,196,1.1163388828173446,0.09994862939208396
Random,14,224,1.1229281444343506,0.09767823971429433
Random,14,252,1.1363663908277024,0.09547111160408397
Random,14,280,1.1367700847030715,0.09382298921725614
Random,15,28,1.0523900409829419,0.1179138529315952
Random,15,56,1.0755505420268772,0.1103238338000202
Random,15,84,1.0904161151591327,0.1112579559119239
Random,15,112,1.1255943209328014,0.0974551923250212
Random,15,140,1.1322777664747847,0.09543890559796638
Random,15,168,1.137617477555093,0.09043918943642838
Random,15,196,1.1414554849599199,0.0886095124218119
Random,15,224,1.141518674600478,0.0879567422183843
Random,15,252,1.1446154657487748,0.08445033149329835
Random,15,280,1.1446200176852328,0.08369545526755492
