fold,variant,protocol,target,MAPE,RMSE,R2,n_eval_rows,n_heldout_cells,seconds,features
3,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,macro_avg,1.634597664977058,0.21832303353231886,0.8886650058023473,171,46,9.680821418762207,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
3,PINN_pred_full9,pointwise,Q,5.7641737504016906,0.19002899072922522,0.514848225477146,817,46,2.2206027507781982,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
3,PINN_pred_full9,pointwise,Re,9.952067836888006,2.090787937622895,0.2343182109548393,817,46,2.2206027507781982,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
3,PINN_pred_full9,pointwise,macro_avg,7.858120793644848,1.1404084641760601,0.37458321821599266,817,46,2.2206027507781982,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
3,PINN_phys_full9,pointwise,Q,6.135801681331604,0.1965164914239945,0.4811570689205925,817,46,3.4727418422698975,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
3,PINN_phys_full9,pointwise,Re,10.84340009174139,2.2072644811259665,0.14663054136093745,817,46,3.4727418422698975,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
3,PINN_phys_full9,pointwise,macro_avg,8.489600886536497,1.2018904862749804,0.313893805140765,817,46,3.4727418422698975,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
4,LSTM_main_full9_teacher_forced,teacher_forced,Q,1.0566835971271493,0.036258315663432614,0.9722786124491913,150,45,8.208133697509766,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
4,LSTM_main_full9_teacher_forced,teacher_forced,Re,0.5761120136632688,0.16846385428271715,0.9829662408596694,150,45,8.208133697509766,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
4,LSTM_main_full9_teacher_forced,teacher_forced,macro_avg,0.816397805395209,0.10236108497307489,0.9776224266544304,150,45,8.208133697509766,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
4,LSTM_main_full9_rollout,autoregressive_rollout,Q,1.3411532187067499,0.04563831755398124,0.956080340448402,150,45,8.523028373718262,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
4,LSTM_main_full9_rollout,autoregressive_rollout,Re,0.6112429199553477,0.1769380147419305,0.9812094567156663,150,45,8.523028373718262,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
4,LSTM_main_full9_rollout,autoregressive_rollout,macro_avg,0.9761980693310488,0.11128816614795586,0.9686448985820342,150,45,8.523028373718262,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
