seed,repeat,ms_per_trajectory
52,6,12.919446800003698
52,7,12.544981400003508
52,8,12.616578500001197
52,9,12.392097200006447
52,10,12.552492899999379
52,11,12.676868500000182
52,12,12.879420199999458
52,13,12.759187500000735
52,14,12.789755099993272
52,15,12.788843700002417
52,16,12.777469400009522
52,17,12.466140499998346
52,18,12.77333660000295
52,19,12.305230900005881
52,20,12.488572200004455
52,21,12.528797700008454
52,22,12.661251600002288
52,23,12.481408999997257
52,24,12.577766300000803
52,25,13.310937500000364
52,26,12.88987210000414
52,27,13.130885799989755
52,28,12.531123099995511
52,29,12.25551050000604
52,30,12.257830200007902
52,31,12.298423200002162
52,32,12.52291560000458
52,33,12.663781000003382
52,34,12.274283199997171
52,35,12.392006300001412
52,36,12.415263699995194
52,37,12.233097699993323
52,38,12.276271399991856
52,39,12.45294619999413
52,40,12.375516800000241
52,41,12.419501700003366
52,42,12.476614600006997
52,43,12.372033899998769
52,44,12.391316799994456
52,45,12.535306899997067
52,46,12.835495699994226
52,47,12.632773500001804
52,48,12.51866869999958
52,49,12.64670020000267
52,50,12.394806300005712
52,51,12.211935900006665
52,52,12.246821099995486
52,53,12.320197799999733
52,54,12.144706300000507
52,55,12.677050600007078
52,56,12.307080999994469
52,57,12.432093699999314
52,58,12.524854800005869
52,59,12.406927500001075
52,60,12.75379950000115
52,61,12.458062999996855
52,62,13.002457300001424
52,63,12.66365469999755
52,64,13.910089600005904
52,65,14.129141500006881
52,66,12.648407899996528
52,67,12.27957730000071
52,68,12.339872100005778
52,69,12.384045399994648
52,70,12.500866700008828
52,71,12.55554110000503
52,72,13.094974399996318
52,73,12.649486299994805
52,74,12.496482400001696
52,75,12.532466700008627
52,76,12.381713999991462
52,77,12.294605700003558
52,78,12.458220899998196
52,79,12.281742100003612
52,80,12.256922999995368
52,81,12.104548499996781
52,82,12.284181700010777
52,83,12.322809400006918
52,84,12.360229700004766
52,85,12.246239399996739
52,86,12.343979299998864
52,87,12.326647999998386
52,88,12.206460899994909
52,89,12.413526299997102
52,90,12.284903800002667
52,91,12.401625799998328
52,92,12.166549699998086
52,93,12.021618599999329
52,94,12.226418099999137
52,95,11.94061740000052
52,96,12.268505800000185
52,97,12.465985099993304
52,98,12.673014400002103
52,99,12.42419320000181
52,100,12.67463870000256
62,1,12.674250400004894
62,2,12.469966399999066
62,3,12.089721300003475
62,4,12.609158800000841
62,5,12.243382700000893
62,6,12.30411809999623
62,7,12.54287659999136
62,8,12.67372739999928
62,9,12.401058700004342
62,10,12.575497000000269
62,11,12.589910899998813
62,12,12.456269699998757
62,13,12.004440700002306
62,14,12.997021199998926
62,15,12.605515699999614
62,16,15.320488199995452
62,17,13.047966799990718
62,18,12.219693199995163
62,19,12.289720699993723
62,20,12.559985300003973
62,21,12.6857761999986
62,22,12.318699600007221
62,23,12.513556900000822
62,24,12.474129700001413
62,25,12.6156562999995
62,26,13.2054906999997
62,27,12.889183799995863
62,28,12.361851200000729
62,29,12.992734500005554
62,30,12.84441479999714
62,31,12.423231299999316
62,32,12.391138099997079
62,33,12.488010100003066
62,34,12.394332500002747
62,35,12.203630900000917
62,36,12.524206600005527
62,37,12.489469000001918
62,38,12.351055800002086
62,39,12.533984899994266
62,40,12.390540199999123
62,41,12.680868699999337
62,42,12.473599899999499
62,43,12.290454399999362
62,44,12.334030499994242
62,45,12.200734200007446
62,46,12.292740200007302
62,47,12.884765300009349
62,48,12.528690700003153
62,49,12.715569500005586
62,50,12.455752500000017
62,51,12.43940479999992
62,52,12.520726499997181
62,53,12.205306999999266
62,54,12.154351599997426
62,55,12.574394099999608
62,56,12.281486799997765
62,57,12.584419699999216
62,58,12.23123959999839
62,59,12.315213799990943
62,60,12.58422910000263
62,61,12.44482470000321
62,62,12.68805690000363
62,63,12.855143100000532
62,64,12.366098500001499
62,65,12.872549499991237
62,66,12.163672999997743
62,67,12.238484900001367
62,68,12.365693099991404
62,69,12.350343100001737
62,70,12.395338599992556
62,71,12.49702799999568
62,72,12.56479500000296
62,73,12.560589099996378
62,74,12.527047399998992
62,75,12.590635000003658
62,76,12.336093900000833
62,77,12.436658100000386
62,78,12.215323599991734
62,79,12.508347300001788
62,80,12.38743249999743
62,81,12.251763799997661
62,82,12.617283899999165
62,83,12.198684899999535
62,84,12.613803099998222
62,85,12.480764199995065
62,86,12.476273700008278
62,87,12.715933599997697
62,88,12.37083610000127
62,89,12.198159000001851
62,90,12.364929700004268
62,91,12.117926099995202
62,92,12.349084499999208
62,93,12.256061599998702
62,94,13.80900000000338
62,95,12.453288200003954
62,96,15.501313600009325
62,97,12.772937800002637
62,98,12.538680200009367
62,99,12.260968199996114
62,100,12.534351599992988
72,1,12.389562900000328
72,2,12.124687400000767
72,3,12.373822199992901
72,4,12.832724000008966
72,5,12.574176800001169
72,6,12.70368979999148
72,7,12.491453799998453
72,8,12.375783999993928
72,9,12.278970800002753
72,10,12.396357699992677
72,11,12.573015700002088
72,12,12.706883800001378
72,13,12.814690200002588
72,14,12.676474500005952
72,15,12.265494899997975
72,16,12.244649799993113
72,17,12.450139700001728
72,18,12.191324799994163
72,19,12.556328599998778
72,20,13.021020199994382
72,21,12.590436999994381
72,22,12.480005899999469
72,23,12.291941299997688
72,24,12.777502400001595
72,25,12.508955099997365
72,26,12.5961564000022
72,27,12.552548899998328
72,28,12.900480999996944
72,29,12.680104100002154
72,30,12.686426400000528
72,31,12.40276679999397
72,32,12.285862999999608
72,33,12.460312200005319
72,34,12.205522099998234
72,35,12.461644699999397
72,36,12.921677200006343
72,37,12.699116299995694
72,38,12.700336299997161
72,39,12.346765699999196
72,40,12.27796829999761
72,41,12.33818489999976
72,42,12.440383600005589
72,43,12.303954499998326
72,44,12.452985299989905
72,45,12.856610899996213
72,46,12.53110249999736
72,47,12.374263599997448
72,48,12.444070100002591
72,49,12.461240499999349
72,50,13.065513200001533
72,51,12.990977000004023
72,52,14.888017399994169
72,53,12.026916600007098
72,54,12.74052630000142
72,55,12.315609200004474
72,56,12.336528200000885
72,57,12.507742799994048
72,58,12.406316199997036
72,59,13.655042100003811
72,60,13.490368400005082
72,61,12.526376699997854
72,62,12.62144840000019
72,63,12.438699500000894
72,64,12.035174799996184
72,65,12.828407199992853
72,66,12.682152800005042
72,67,12.971870399996988
72,68,12.627663399996436
72,69,12.739347400008683
72,70,12.476078400004553
72,71,12.172575599993252
72,72,12.372754499995153
72,73,12.655109399997855
72,74,12.619739600006596
72,75,12.840561699999853
72,76,12.667248800005382
72,77,12.49000900000965
72,78,12.919010099994921
72,79,12.583783200000198
72,80,12.33932709999408
72,81,12.732214999994085
72,82,12.369706000004044
72,83,13.353905700000723
72,84,12.728140999990956
72,85,12.37600489999977
