model,protocol,variant,target,MAPE,RMSE,R2,n_features,features,seconds
LSTM_main,teacher_forced,No_c_rate_chg,Q,2.9869025928780175,0.09591679746501823,0.8759729586224086,8,"k_exp,temperature,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",4.234146595001221
LSTM_main,teacher_forced,No_c_rate_chg,Re,3.4342013754398395,0.753646247143386,0.8034549748320355,8,"k_exp,temperature,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",4.234146595001221
LSTM_main,teacher_forced,No_c_rate_chg,macro_avg,3.2105519841589283,0.42478152230420213,0.8397139667272221,8,"k_exp,temperature,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",4.234146595001221
LSTM_main,autoregressive_rollout,No_c_rate_chg,Q,3.1515271368356754,0.0998714363939085,0.8655348822485067,8,"k_exp,temperature,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",4.392944097518921
LSTM_main,autoregressive_rollout,No_c_rate_chg,Re,3.474243308236793,0.758760504943884,0.8007784073474877,8,"k_exp,temperature,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",4.392944097518921
LSTM_main,autoregressive_rollout,No_c_rate_chg,macro_avg,3.3128852225362344,0.42931597066889626,0.8331566447979972,8,"k_exp,temperature,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",4.392944097518921
LSTM_main,teacher_forced,No_k_exp,Q,4.160307290730554,0.12153182758334528,0.8008835678028101,8,"temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",3.6586484909057617
LSTM_main,teacher_forced,No_k_exp,Re,4.580499671996483,0.9558628296916757,0.6838318476398577,8,"temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",3.6586484909057617
LSTM_main,teacher_forced,No_k_exp,macro_avg,4.370403481363518,0.5386973286375105,0.7423577077213339,8,"temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",3.6586484909057617
LSTM_main,autoregressive_rollout,No_k_exp,Q,4.2445070810019265,0.12342270798012386,0.7946393709088235,8,"temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",3.8171615600585938
LSTM_main,autoregressive_rollout,No_k_exp,Re,4.563388629861781,0.9559054228192175,0.6838036701858243,8,"temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",3.8171615600585938
LSTM_main,autoregressive_rollout,No_k_exp,macro_avg,4.403947855431854,0.5396640653996707,0.7392215205473239,8,"temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",3.8171615600585938
LSTM_main,teacher_forced,k_Re0,Q,2.4651168607880405,0.0841448609993506,0.9045486140009514,2,"k_exp,Re0",5.446133136749268
LSTM_main,teacher_forced,k_Re0,Re,1.1180712055285091,0.23696090032274375,0.9805696619536072,2,"k_exp,Re0",5.446133136749268
LSTM_main,teacher_forced,k_Re0,macro_avg,1.7915940331582747,0.16055288066104717,0.9425591379772793,2,"k_exp,Re0",5.446133136749268
LSTM_main,autoregressive_rollout,k_Re0,Q,2.77467377017101,0.09132390096730245,0.8875664423091444,2,"k_exp,Re0",5.604367733001709
LSTM_main,autoregressive_rollout,k_Re0,Re,1.2671945093517467,0.2788300831788547,0.9730966581214427,2,"k_exp,Re0",5.604367733001709
LSTM_main,autoregressive_rollout,k_Re0,macro_avg,2.0209341397613785,0.1850769920730786,0.9303315502152936,2,"k_exp,Re0",5.604367733001709
LSTM_main,teacher_forced,k_Re0_Q0,Q,4.677354278487272,0.1316059379812749,0.7665047694758025,3,"k_exp,Re0,Q0",3.91969895362854
LSTM_main,teacher_forced,k_Re0_Q0,Re,2.7652675374121376,0.7389607777917792,0.8110400569421287,3,"k_exp,Re0,Q0",3.91969895362854
LSTM_main,teacher_forced,k_Re0_Q0,macro_avg,3.7213109079497046,0.43528335788652706,0.7887724132089655,3,"k_exp,Re0,Q0",3.91969895362854
LSTM_main,autoregressive_rollout,k_Re0_Q0,Q,5.039694427147296,0.14285020983612645,0.7249011280369176,3,"k_exp,Re0,Q0",4.0782225131988525
LSTM_main,autoregressive_rollout,k_Re0_Q0,Re,2.7638559266102303,0.7349285471733833,0.8130965971759073,3,"k_exp,Re0,Q0",4.0782225131988525
LSTM_main,autoregressive_rollout,k_Re0_Q0,macro_avg,3.901775176878763,0.43888937850475485,0.7689988626064125,3,"k_exp,Re0,Q0",4.0782225131988525
LSTM_main,teacher_forced,k_Re0_Rct0_Q0,Q,3.2775751046301926,0.09341910772271257,0.8823482276305227,4,"k_exp,Re0,Rct0,Q0",4.286168813705444
LSTM_main,teacher_forced,k_Re0_Rct0_Q0,Re,1.4672208059857532,0.332901857538564,0.9616505260627214,4,"k_exp,Re0,Rct0,Q0",4.286168813705444
