model,protocol,variant,target,MAPE,RMSE,R2,n_features,features,seconds,Full9_MAPE,Delta_vs_Full9
PINN_phys,pointwise,No_c_rate_chg,macro_avg,8.593934926591743,1.348065535545452,0.42945515854301525,8,"k_exp,temperature,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",3.5171563625335693,10.084801785979852,-1.4908668593881096
PINN_phys,pointwise,PINNfeat_no_Ea,macro_avg,8.739454852612736,1.1958646296298987,0.42682428884323326,5,"k_exp,Re0,Rct0,Q0,stress",3.5091960430145264,10.084801785979852,-1.3453469333671162
PINN_phys,pointwise,k_Re0,macro_avg,8.874513777758704,1.2803360167054405,0.4474837500649828,2,"k_exp,Re0",3.9354779720306396,10.084801785979852,-1.2102880082211485
PINN_phys,pointwise,k_Re0_Q0,macro_avg,9.032116917593232,1.3272060339994893,0.4081052350494226,3,"k_exp,Re0,Q0",3.844106912612915,10.084801785979852,-1.0526848683866206
PINN_phys,pointwise,k_Re0_Rct0_Q0,macro_avg,9.231050760552002,1.361606320610623,0.4336327964667301,4,"k_exp,Re0,Rct0,Q0",3.291933536529541,10.084801785979852,-0.8537510254278509
PINN_phys,pointwise,No_Temperature,macro_avg,9.246108638111217,1.4034353494012073,0.4322636867036481,8,"k_exp,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",3.7802374362945557,10.084801785979852,-0.8386931478686357
PINN_phys,pointwise,No_Rct0,macro_avg,9.350141307599438,1.4108942973020937,0.398907064536542,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0",3.8178648948669434,10.084801785979852,-0.7346604783804143
PINN_phys,pointwise,No_NearZero,macro_avg,9.40404967624844,1.391638958552035,0.38599814995528386,6,"k_exp,temperature,c_rate_chg,Q0,Re0,Rct0",3.5116212368011475,10.084801785979852,-0.6807521097314133
PINN_phys,pointwise,No_Re0,macro_avg,9.556371924241146,1.4712134177979226,0.33526841085372544,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Rct0",3.863241672515869,10.084801785979852,-0.5284298617387062
PINN_phys,pointwise,Full9,macro_avg,10.084801785979852,1.5552023230848686,0.3293006075516804,9,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",3.4952540397644043,10.084801785979852,0.0
PINN_phys,pointwise,No_Re0_Rct0,macro_avg,11.301481459169212,1.9464561743769249,0.07200391819983776,7,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0",5.556079864501953,10.084801785979852,1.2166796731893594
PINN_pred,pointwise,PINNfeat_k_Re0_Q0_EaStress,macro_avg,8.216145432251338,1.157519853170033,0.4654844139267961,5,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean",2.487611770629883,8.826070848540208,-0.6099254162888705
PINN_pred,pointwise,PINNfeat_k_Re0_Rct0_Q0_EaStress,macro_avg,8.338216772925861,1.2056612665543878,0.42098129138241436,6,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean",2.6498517990112305,8.826070848540208,-0.48785407561434724
PINN_pred,pointwise,No_c_rate_chg,macro_avg,8.372149829441529,1.3278497763203698,0.47391508512062525,8,"k_exp,temperature,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",2.219377040863037,8.826070848540208,-0.4539210190986793
PINN_pred,pointwise,No_Q0,macro_avg,8.424437874046268,1.2725763369779532,0.4604533092559967,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Re0,Rct0",2.3326518535614014,8.826070848540208,-0.40163297449394086
PINN_pred,pointwise,PINNfeat_no_Ea,macro_avg,8.495715697666215,1.1977240517227266,0.4457403990025838,5,"k_exp,Re0,Rct0,Q0,stress",2.221958637237549,8.826070848540208,-0.33035515087399325
PINN_pred,pointwise,k_Re0,macro_avg,8.762687069854907,1.3113798448511353,0.4546628844082389,2,"k_exp,Re0",3.1425373554229736,8.826070848540208,-0.0633837786853011
PINN_pred,pointwise,No_NearZero,macro_avg,8.76575242848051,1.4253643749783964,0.4072527933631527,6,"k_exp,temperature,c_rate_chg,Q0,Re0,Rct0",3.6315860748291016,8.826070848540208,-0.060318420059697786
PINN_pred,pointwise,Full9,macro_avg,8.826070848540208,1.5134989112769641,0.3946426116180918,9,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",4.239415407180786,8.826070848540208,0.0
PINN_pred,pointwise,PINNfeat_no_stress,macro_avg,8.92880618609447,1.2958266694626832,0.27671572860432675,5,"k_exp,Re0,Rct0,Q0,Ea_kJ_mol_mean",3.3763368129730225,8.826070848540208,0.10273533755426101
PINN_pred,pointwise,k_Re0_Q0,macro_avg,9.041387881466239,1.3135369359676743,0.39802212511280277,3,"k_exp,Re0,Q0",2.604482889175415,8.826070848540208,0.21531703292603055
PINN_pred,pointwise,No_Temperature,macro_avg,9.099653124063856,1.3689199387857838,0.4175901531644585,8,"k_exp,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",2.1259140968322754,8.826070848540208,0.27358227552364767
PINN_pred,pointwise,No_Re0,macro_avg,9.272341613323427,1.4434330298145486,0.4094071538459373,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Rct0",2.4564335346221924,8.826070848540208,0.44627076478321825
PINN_pred,pointwise,k_Re0_Rct0_Q0,macro_avg,9.321358129724477,1.3378053051335332,0.3896232898496037,4,"k_exp,Re0,Rct0,Q0",2.4880728721618652,8.826070848540208,0.4952872811842681
PINN_pred,pointwise,No_Rct0,macro_avg,9.503593391430682,1.4619909684126187,0.4171998789334878,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0",2.2680673599243164,8.826070848540208,0.6775225428904736
PINN_pred,pointwise,No_Re0_Rct0,macro_avg,10.955166089727454,1.7174985092673352,0.22971415692231245,7,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0",1.886446237564087,8.826070848540208,2.1290952411872457
