candidate_id,L,hidden,layers,H,lr,seed,validation_macro_MAPE,parameters,latency_ms,train_seconds
L15_D96_N1_H5_LR0.00051649,15,96,1,5,0.000516493,52,1.8340960343260526,62658,0.4055503845214844,2.934909171999948
L15_D96_N1_H5_LR0.00051649,15,96,1,5,0.000516493,62,2.336756426457296,62658,0.38580799102783203,2.8372570000000223
L15_D96_N1_H5_LR0.00051649,15,96,1,5,0.000516493,72,1.921126011644236,62658,0.4027775764465332,2.9154984240000203
L15_D96_N1_H5_LR0.00051649,15,96,1,5,0.000516493,82,2.134693707555483,62658,0.4096096038818359,2.7895351359999268
L15_D96_N1_H5_LR0.00051649,15,96,1,5,0.000516493,92,1.889943345202871,62658,0.4001776218414307,2.834096023000029
L15_D96_N1_H5_LR0.00051649,15,96,1,5,0.000516493,102,2.0743523434307662,62658,0.399564790725708,2.748568554999906
L15_D96_N1_H5_LR0.00051649,15,96,1,5,0.000516493,112,1.9936033136588058,62658,0.3987200021743774,2.8409279669999705
L15_D96_N1_H5_LR0.00051649,15,96,1,5,0.000516493,122,2.5011975093422194,62658,0.3850496053695679,2.779802415000063
L15_D96_N1_H5_LR0.00051649,15,96,1,5,0.000516493,132,2.0765195000619827,62658,0.4017183780670166,2.7648067970000056
L10_D64_N1_H3_LR0.00070000,10,64,1,3,0.0007,42,3.9243656096894064,36418,0.41407041549682616,3.2767865420000817
L10_D64_N1_H3_LR0.00070000,10,64,1,3,0.0007,52,3.1391012090340857,36418,0.3981519937515259,3.139517751000085
L10_D64_N1_H3_LR0.00070000,10,64,1,3,0.0007,62,2.7469117122066686,36418,0.38500161170959474,3.033682122000073
L10_D64_N1_H3_LR0.00070000,10,64,1,3,0.0007,72,2.748905622490494,36418,0.39414401054382325,3.2245551869999645
L10_D64_N1_H3_LR0.00070000,10,64,1,3,0.0007,82,3.3982611752420824,36418,0.42086238861083985,3.291705976000003
L10_D64_N1_H3_LR0.00070000,10,64,1,3,0.0007,92,3.2310994541120635,36418,0.3797087907791138,3.22639446200003
L10_D64_N1_H3_LR0.00070000,10,64,1,3,0.0007,102,2.7139909915725036,36418,0.39763200283050537,3.338862318999986
L10_D64_N1_H3_LR0.00070000,10,64,1,3,0.0007,112,3.963500360116953,36418,0.3979199886322021,3.1414027200000874
L10_D64_N1_H3_LR0.00070000,10,64,1,3,0.0007,122,3.1370934964743995,36418,0.3960400104522705,3.3297773990000223
L10_D64_N1_H3_LR0.00070000,10,64,1,3,0.0007,132,3.6295870921072417,36418,0.41230239868164065,3.2103217019999875
L10_D192_N3_H10_LR0.00100000,10,192,3,10,0.001,42,1.7056695116530558,783426,0.7390848159790039,13.15672555599997
L10_D192_N3_H10_LR0.00100000,10,192,3,10,0.001,52,1.9714185449177777,783426,0.7396304130554199,15.12599130700005
L10_D192_N3_H10_LR0.00100000,10,192,3,10,0.001,62,1.3111121316522443,783426,0.7362559795379638,12.503956743000003
L10_D192_N3_H10_LR0.00100000,10,192,3,10,0.001,72,1.6315562040015166,783426,0.7447279930114746,15.557252615000039
L10_D192_N3_H10_LR0.00100000,10,192,3,10,0.001,82,1.5623986283296292,783426,0.745582389831543,13.484961289000012
L10_D192_N3_H10_LR0.00100000,10,192,3,10,0.001,92,1.3511761646542952,783426,0.7453695774078369,12.954434451999987
L10_D192_N3_H10_LR0.00100000,10,192,3,10,0.001,102,1.8908339478273433,783426,0.7438032150268554,13.175156061999928
L10_D192_N3_H10_LR0.00100000,10,192,3,10,0.001,112,1.4958722138596339,783426,0.7395071983337402,12.648452845999941
L10_D192_N3_H10_LR0.00100000,10,192,3,10,0.001,122,1.4467062826495622,783426,0.7440415859222412,13.248433552000051
L10_D192_N3_H10_LR0.00100000,10,192,3,10,0.001,132,1.1338783204101262,783426,0.7376768112182617,13.367080637000072
L10_D128_N2_H15_LR0.00070000,10,128,2,15,0.0007,42,2.807375272574111,229186,0.41502718925476073,4.20406111300008
L10_D128_N2_H15_LR0.00070000,10,128,2,15,0.0007,52,1.4689439350547069,229186,0.420147180557251,3.4246122899999136
L10_D128_N2_H15_LR0.00070000,10,128,2,15,0.0007,62,1.4489981603619082,229186,0.41697278022766116,4.111846817000014
L10_D128_N2_H15_LR0.00070000,10,128,2,15,0.0007,72,1.9607614200102668,229186,0.41545281410217283,4.079442086999961
L10_D128_N2_H15_LR0.00070000,10,128,2,15,0.0007,82,1.879125100170245,229186,0.4279327869415283,3.8222553900000094
L10_D128_N2_H15_LR0.00070000,10,128,2,15,0.0007,92,2.2142419889232743,229186,0.4213679790496826,3.942682168000033
