stage,epoch,train_loss,validation_loss,seed,calibration_loss
source_pretraining,34,0.038703225553035736,0.05115174874663353,42,
source_pretraining,35,0.034859487786889076,0.051407720893621445,42,
source_pretraining,36,0.03415289148688316,0.0502425841987133,42,
source_pretraining,37,0.0320859644562006,0.04819241166114807,42,
source_pretraining,38,0.029664622619748116,0.04652658477425575,42,
source_pretraining,39,0.03005937673151493,0.04714272916316986,42,
source_pretraining,40,0.028050743974745274,0.049665991216897964,42,
source_pretraining,41,0.026371615007519722,0.05135909840464592,42,
source_pretraining,42,0.03045487590134144,0.052025504410266876,42,
source_pretraining,43,0.02467009611427784,0.05130496621131897,42,
source_pretraining,44,0.023147634230554104,0.050486449152231216,42,
source_pretraining,45,0.022576656192541122,0.04947390407323837,42,
source_pretraining,46,0.023815490305423737,0.04900844022631645,42,
source_pretraining,47,0.019323699176311493,0.04854298010468483,42,
source_pretraining,48,0.020262356847524643,0.0481652207672596,42,
source_pretraining,49,0.018452499993145466,0.047149427235126495,42,
source_pretraining,50,0.018491404131054878,0.04759582132101059,42,
source_pretraining,51,0.015652277506887913,0.04763307422399521,42,
source_pretraining,52,0.014614058658480644,0.047229208052158356,42,
source_pretraining,53,0.017506138421595097,0.04625626653432846,42,
source_pretraining,54,0.016887293197214603,0.045750681310892105,42,
source_pretraining,55,0.015384017955511808,0.0464068166911602,42,
source_pretraining,56,0.015423352364450693,0.04654507711529732,42,
source_pretraining,57,0.01501851063221693,0.04751506820321083,42,
source_pretraining,58,0.013418997637927532,0.049476489424705505,42,
source_pretraining,59,0.013094756286591291,0.049510013312101364,42,
source_pretraining,60,0.015274613630026579,0.04884416610002518,42,
source_pretraining,61,0.011712776497006416,0.04862617701292038,42,
source_pretraining,62,0.012124671135097742,0.0482015497982502,42,
source_pretraining,63,0.01342992763966322,0.049013860523700714,42,
source_pretraining,64,0.011878770776093006,0.04936930909752846,42,
source_pretraining,65,0.011805910151451826,0.048913124948740005,42,
source_pretraining,66,0.011521458392962813,0.04870481789112091,42,
source_pretraining,67,0.012709575239568949,0.048237305134534836,42,
source_pretraining,68,0.01238216320052743,0.04796081781387329,42,
source_pretraining,69,0.012545981910079718,0.04808248206973076,42,
source_pretraining,70,0.013769332319498062,0.04683131352066994,42,
source_pretraining,71,0.015002289786934853,0.04579494521021843,42,
source_pretraining,72,0.011202424298971891,0.04507266357541084,42,
source_pretraining,73,0.01276577590033412,0.045110296458005905,42,
source_pretraining,74,0.014297198504209518,0.04467714577913284,42,
source_pretraining,75,0.012065610848367214,0.043842069804668427,42,
source_pretraining,76,0.011472106445580721,0.04210143908858299,42,
source_pretraining,77,0.012879278510808945,0.04176072031259537,42,
source_pretraining,78,0.009803094435483217,0.04225245118141174,42,
source_pretraining,79,0.012584846466779709,0.04416152089834213,42,
source_pretraining,80,0.01009046658873558,0.045270394533872604,42,
source_pretraining,81,0.012502494268119335,0.04466773197054863,42,
source_pretraining,82,0.01001717709004879,0.04353700950741768,42,
source_pretraining,83,0.011016808915883303,0.04317662492394447,42,
source_pretraining,84,0.010855555534362793,0.04256908595561981,42,
source_pretraining,85,0.011912227608263493,0.040530167520046234,42,
source_pretraining,86,0.012197636067867279,0.040700387209653854,42,
source_pretraining,87,0.010922584682703018,0.040977928787469864,42,
source_pretraining,88,0.009992776438593864,0.04039876535534859,42,
source_pretraining,89,0.010271444916725159,0.038958292454481125,42,
source_pretraining,90,0.010928678791970015,0.037738680839538574,42,
source_pretraining,91,0.010758708231151104,0.03708545118570328,42,
source_pretraining,92,0.009218752151355147,0.038263414055109024,42,
source_pretraining,93,0.010473347268998623,0.03796210139989853,42,
source_pretraining,94,0.01040179654955864,0.03718831390142441,42,
source_pretraining,95,0.008465263992547989,0.03679267689585686,42,
source_pretraining,96,0.008239042479544878,0.03716038540005684,42,
source_pretraining,97,0.009471572004258633,0.03732210397720337,42,
source_pretraining,98,0.008620728272944689,0.037130821496248245,42,
source_pretraining,99,0.009521684143692255,0.03639757260680199,42,
source_pretraining,100,0.008975361473858356,0.03683581203222275,42,
source_pretraining,101,0.00832896213978529,0.03742470592260361,42,
source_pretraining,102,0.009572543203830719,0.035863541066646576,42,
source_pretraining,103,0.008219414856284857,0.034515004605054855,42,
source_pretraining,104,0.009046802762895823,0.03253483027219772,42,
source_pretraining,105,0.009878023993223906,0.032158829271793365,42,
